page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     240   206  rgb     3   8  jpeg   no       362  0   119   120 8428B 5.7%
   1     1 smask     240   206  gray    1   8  jpeg   no       362  0   119   120 5877B  12%
   1     2 image     576    42  rgb     3   8  jpeg   no       364  0   111   113 8261B  11%
   1     3 smask     576    42  gray    1   8  jpeg   no       364  0   111   113 6479B  27%
   1     4 image     940    71  rgb     3   8  image  no       366  0   106   106 2259B 1.1%
   1     5 smask     940    71  gray    1   8  image  no       366  0   106   106 1759B 2.6%
   1     6 image     397   187  rgb     3   8  jpeg   no       368  0    99    99 10.7K 4.9%
   1     7 image     561   181  rgb     3   8  jpeg   no       369  0   119   119 22.3K 7.5%
   1     8 image     274   329  rgb     3   8  jpeg   no       370  0   127   127 13.5K 5.1%
   1     9 image     237   248  rgb     3   8  jpeg   no       371  0   111   111 7810B 4.4%
   1    10 image     450   450  rgb     3   8  jpeg   no       372  0   115   115 21.1K 3.6%
   1    11 image     235   754  rgb     3   8  jpeg   no       373  0   112   112 26.1K 5.0%
   1    12 image     283   428  rgb     3   8  jpeg   no       374  0   131   131 11.2K 3.1%
   1    13 image     441   192  rgb     3   8  jpeg   no       375  0   124   124 13.2K 5.3%
   2    14 image     548   790  rgb     3   8  jpeg   no         5  0    66    68 96.0K 7.6%
   3    15 image     909   497  rgb     3   8  jpeg   no        21  0   110   110 49.1K 3.7%
   3    16 image    1000   800  rgb     3   8  jpeg   no       326  0    62    62 45.6K 1.9%
   3    17 smask    1000   800  gray    1   8  jpeg   no       326  0    62    62 8119B 1.0%
   3    18 image     400   400  rgb     3   8  jpeg   no        42  0   122   122 8506B 1.8%
   3    19 smask     400   400  gray    1   8  jpeg   no        42  0   122   122 4320B 2.7%
   4    20 image     700   862  rgb     3   8  jpeg   no        81  0   119   119 62.5K 3.5%
   5    21 image     740  1044  rgb     3   8  jpeg   no        84  0    89    89  116K 5.1%
   6    22 image     442   618  rgb     3   8  jpeg   no        87  0    53    53 29.1K 3.6%
   7    23 image    1400  1005  rgb     3   8  jpeg   no        95  0   169   169  114K 2.8%
   7    24 image     543   370  rgb     3   8  jpeg   no        96  0   113   113 13.5K 2.3%
   8    25 image     600   799  rgb     3   8  jpeg   no       110  0   152   152 68.3K 4.9%
   9    26 image     551   535  rgb     3   8  jpeg   no       124  0   177   177 24.8K 2.9%
   9    27 image     226   188  rgb     3   8  jpeg   no       126  0   143   142 3624B 2.8%
  10    28 image     774  1104  rgb     3   8  jpeg   no       148  0    93    94 42.7K 1.7%
  10    29 image     285   356  rgb     3   8  jpeg   no       149  0   110   110 12.0K 4.0%
  11    30 image     474   577  rgb     3   8  jpeg   no       176  0   144   144 23.7K 3.0%
  11    31 image    1000   800  rgb     3   8  jpeg   no       326  0    70    70 45.6K 1.9%
  11    32 smask    1000   800  gray    1   8  jpeg   no       326  0    70    70 8119B 1.0%
  12    33 image     270   564  rgb     3   8  jpeg   no       202  0    66    66 14.4K 3.2%
  13    34 image     150   150  rgb     3   8  jpeg   no       210  0   128   128 4180B 6.2%
  13    35 smask     150   150  gray    1   8  image  no       210  0   128   128 1159B 5.2%
  13    36 image     385   480  rgb     3   8  jpeg   no       212  0   149   149 18.2K 3.4%
  14    37 image    1138  1598  rgb     3   8  jpeg   no       235  0   138   137 77.2K 1.4%
